hash	m	k_log	n_log	threads	variant	group	median_ms	min_ms
sha2	29	15	14	1	L1-useful-stripe-nt	64	41.6484	41.0790
sha2	29	15	14	1	compute-only	64	21.7902	21.2957
blake3	23	14	9	1	production-driver+stripe	8	0.5440	0.5384
blake3	23	14	9	1	row-major	8	0.3677	0.3635
blake3	23	14	9	1	L1-full	64	0.5390	0.5377
blake3	23	14	9	1	L1-useful-nt	64	0.4745	0.4546
blake3	23	14	9	1	L1-useful-stripe-nt	64	0.6370	0.6348
blake3	23	14	9	1	compute-only	64	0.4237	0.3972
blake3	26	14	12	1	production-driver+stripe	8	4.7390	4.6670
blake3	26	14	12	1	row-major	8	2.9177	2.8623
blake3	26	14	12	1	L1-full	64	4.8303	4.7120
blake3	26	14	12	1	L1-useful-nt	64	3.8981	3.8570
blake3	26	14	12	1	L1-useful-stripe-nt	64	5.3123	5.2894
blake3	26	14	12	1	compute-only	64	3.2081	3.2023
blake3	29	14	15	1	production-driver+stripe	8	39.7563	38.6368
blake3	29	14	15	1	row-major	8	24.5373	24.2615
blake3	29	14	15	1	L1-full	64	56.4745	55.7759
blake3	29	14	15	1	L1-useful-nt	64	28.9678	28.4928
blake3	29	14	15	1	L1-useful-stripe-nt	64	40.5885	40.1987
blake3	29	14	15	1	compute-only	64	24.0968	23.6774
