hash	m	k_log	n_log	threads	variant	median_ms	min_ms
keccak	23	16	7	8	prove-production	6.0618	5.7315
keccak	23	16	7	8	prove-l1	5.9042	5.4880
keccak	23	16	7	8	verify-production	3.6089	3.5818
keccak	23	16	7	8	verify-l1	3.7304	3.6055
keccak	26	16	10	8	prove-production	14.9570	14.2897
keccak	26	16	10	8	prove-l1	15.5040	14.5581
keccak	26	16	10	8	verify-production	4.2545	4.2417
keccak	26	16	10	8	verify-l1	4.5472	4.4471
keccak	29	16	13	8	prove-production	82.6190	81.1255
keccak	29	16	13	8	prove-l1	86.3912	83.9940
keccak	29	16	13	8	verify-production	4.8192	4.7675
keccak	29	16	13	8	verify-l1	5.0256	4.9818
keccak	23	16	7	1	prove-production	10.6224	9.9779
keccak	23	16	7	1	prove-l1	10.2606	10.1212
keccak	23	16	7	1	verify-production	3.8070	3.7820
keccak	23	16	7	1	verify-l1	3.9744	3.8253
keccak	26	16	10	1	prove-production	57.4844	56.8469
keccak	26	16	10	1	prove-l1	61.2875	60.2971
keccak	26	16	10	1	verify-production	4.2295	4.1810
keccak	26	16	10	1	verify-l1	4.2693	4.2692
keccak	29	16	13	1	prove-production	451.9470	446.7767
keccak	29	16	13	1	prove-l1	491.9422	482.3013
keccak	29	16	13	1	verify-production	4.6778	4.5848
keccak	29	16	13	1	verify-l1	5.0296	5.0118
