hash	m	k_log	n_log	threads	variant	group	median_ms	min_ms
sha2	23	15	8	1	L1-useful-nt	64	0.6081	0.5667
sha2	23	15	8	1	L1-useful-stripe-nt	64	0.7767	0.6948
sha2	23	15	8	1	compute-only	64	0.4151	0.4094
sha2	23	15	8	1	L1-direct-stripe	8	0.5091	0.4970
sha2	26	15	11	1	production-driver+stripe	8	4.3379	4.2765
sha2	26	15	11	1	row-major	8	2.6057	2.5427
sha2	26	15	11	1	L1-full	64	4.8775	4.7475
sha2	26	15	11	1	L1-useful-nt	64	3.9772	3.9154
sha2	26	15	11	1	L1-useful-stripe-nt	64	5.2460	5.1349
sha2	26	15	11	1	compute-only	64	2.8314	2.8148
sha2	26	15	11	1	L1-direct-stripe	8	4.0826	4.0314
sha2	29	15	14	1	production-driver+stripe	8	36.0388	34.9115
sha2	29	15	14	1	row-major	8	21.6206	21.5811
sha2	29	15	14	1	L1-full	64	55.5422	55.1315
sha2	29	15	14	1	L1-useful-nt	64	31.7930	31.4047
sha2	29	15	14	1	L1-useful-stripe-nt	64	41.9351	41.0679
sha2	29	15	14	1	compute-only	64	22.3376	21.9103
sha2	29	15	14	1	L1-direct-stripe	8	34.5624	34.2260
blake3	23	14	9	1	production-driver+stripe	8	0.5379	0.5370
blake3	23	14	9	1	row-major	8	0.4098	0.3642
blake3	23	14	9	1	L1-full	64	0.6420	0.6016
blake3	23	14	9	1	L1-useful-nt	64	0.5187	0.4940
blake3	23	14	9	1	L1-useful-stripe-nt	64	0.7440	0.6377
blake3	23	14	9	1	compute-only	64	0.4068	0.4022
blake3	23	14	9	1	L1-direct-stripe	8	0.5602	0.5192
blake3	26	14	12	1	production-driver+stripe	8	4.7491	4.6495
blake3	26	14	12	1	row-major	8	3.0602	2.9305
blake3	26	14	12	1	L1-full	64	6.8863	6.7219
blake3	26	14	12	1	L1-useful-nt	64	3.5635	3.3602
blake3	26	14	12	1	L1-useful-stripe-nt	64	5.0783	4.9634
blake3	26	14	12	1	compute-only	64	3.1032	2.9766
blake3	26	14	12	1	L1-direct-stripe	8	4.3722	4.2519
blake3	29	14	15	1	production-driver+stripe	8	39.4447	37.8775
blake3	29	14	15	1	row-major	8	24.3892	23.4244
blake3	29	14	15	1	L1-full	64	56.5434	56.1548
blake3	29	14	15	1	L1-useful-nt	64	28.9533	28.7688
blake3	29	14	15	1	L1-useful-stripe-nt	64	39.9598	39.3857
blake3	29	14	15	1	compute-only	64	23.7734	23.6411
blake3	29	14	15	1	L1-direct-stripe	8	37.2458	37.0939
